#separator:tab
#html:true
#notetype:Basic
#tags column:3
STAR stands for?	Situation, Task, Action, Result.	behavioral
How many behavioral stories to prepare?	About 6–8 reusable stories.	behavioral
What should a Result include?	Outcome with metrics and/or clear learning.	behavioral
Conflict story should demonstrate?	Empathy, communication, and resolution.	behavioral
Failure story should demonstrate?	Ownership, fix, and prevention.	behavioral
Why quantify impact?	Makes accomplishments concrete and memorable.	behavioral
Pronoun pitfall in behavioral answers?	Vague we that hides your personal contribution.	behavioral
Senior signal in behavioral interviews?	Tradeoffs, mentorship, and system-level ownership.	behavioral
How to reuse one story?	Retarget emphasis to match different prompts.	behavioral
Good end of interview habit?	Ask thoughtful questions about team success and stack.	behavioral
